   25.0000000000 25.0000000000 30.0000000000 
   31.9165480148 26.4701576647 30.0000000000 
   31.9165480148 26.4701576647 20.0000000000 
   25.0000000000 25.0000000000 20.0000000000 

   25.0000000000 25.0000000000 30.0000000000 
   26.4701576647 18.0834519852 30.0000000000 
   26.4701576647 18.0834519852 20.0000000000 
   25.0000000000 25.0000000000 20.0000000000 

   25.0000000000 25.0000000000 30.0000000000 
   18.0834519852 23.5298423353 30.0000000000 
   18.0834519852 23.5298423353 20.0000000000 
   25.0000000000 25.0000000000 20.0000000000 

   25.0000000000 25.0000000000 30.0000000000 
   23.5298423353 31.9165480148 30.0000000000 
   23.5298423353 31.9165480148 20.0000000000 
   25.0000000000 25.0000000000 20.0000000000 

   25.0000000000 25.0000000000 30.0000000000 
   31.9165480148 26.4701576647 30.0000000000 
   31.9165480148 26.4701576647 20.0000000000 
   25.0000000000 25.0000000000 20.0000000000 

