   23.5298423353 31.9165480148 35.0000000000 
   26.8754953671 28.2008238874 35.0000000000 
   26.8754953671 28.2008238874 30.0000000000 
   23.5298423353 31.9165480148 30.0000000000 

   23.5298423353 31.9165480148 35.0000000000 
   21.9847573635 27.1612654333 35.0000000000 
   21.9847573635 27.1612654333 30.0000000000 
   23.5298423353 31.9165480148 30.0000000000 

   23.5298423353 31.9165480148 35.0000000000 
   18.6391043317 30.8769895607 35.0000000000 
   18.6391043317 30.8769895607 30.0000000000 
   23.5298423353 31.9165480148 30.0000000000 

   23.5298423353 31.9165480148 35.0000000000 
   20.1841893036 35.6322721422 35.0000000000 
   20.1841893036 35.6322721422 30.0000000000 
   23.5298423353 31.9165480148 30.0000000000 

   23.5298423353 31.9165480148 35.0000000000 
   25.0749273072 36.6718305963 35.0000000000 
   25.0749273072 36.6718305963 30.0000000000 
   23.5298423353 31.9165480148 30.0000000000 

   23.5298423353 31.9165480148 35.0000000000 
   28.4205803390 32.9561064689 35.0000000000 
   28.4205803390 32.9561064689 30.0000000000 
   23.5298423353 31.9165480148 30.0000000000 

   23.5298423353 31.9165480148 35.0000000000 
   26.8754953671 28.2008238874 35.0000000000 
   26.8754953671 28.2008238874 30.0000000000 
   23.5298423353 31.9165480148 30.0000000000 

